created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 08 20:17:35 +0000 2023,1722347657128034419,Ya Allah! 😱  Die Hamas hat JFK ermordet!,0,8,8,129,in,1310993859258834944,1722347657128034419,Fianna_Saoirse,https://twitter.com/Fianna_Saoirse/status/1722347657128034419,
Wed Nov 08 20:16:07 +0000 2023,1722347286590599310,"Waziri wa Mambo ya Nje wa Jordan, Ayman Safadi: Hamas ni wazo ambalo haliwezi kusitishwa. Iwapo yeyote anataka kubadilisha hali hiyo, atimize haki za watu wa Palestina. https://t.co/tgyZ6Qh9M8",1,8,18,302,in,1377150982077882372,1722347286590599310,siadevinci,https://twitter.com/siadevinci/status/1722347286590599310,
Wed Nov 08 19:57:50 +0000 2023,1722342687247081658,"Netanyahu akataa ombi la Hamas, kwamba hakuna kisitisha Operation hata Kama wanaachia mateka, asisitiza walipaswa kuomba kutovamiwa kabla ya kufanya Kitendo cha Ugaidi https://t.co/9kWIL5j2pp",0,6,26,231,in,1363848043540459524,1722342687247081658,AbroadTanzania,https://twitter.com/AbroadTanzania/status/1722342687247081658,
Wed Nov 08 19:52:39 +0000 2023,1722341380448759849,"warga yang ditembak oleh IDF karena disandera Hamas, dan warga-milisi yang tewas karena mempertahankan Kibbutz, serta: 3. Ada beberapa kasus di mana beberapa pejuang Hamas melakukan penyerangan terhadap warga sipil.",1,7,118,667,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341380448759849,
Wed Nov 08 19:52:38 +0000 2023,1722341377621811309,"Kesimpulan: 1. Hamas tidak membunuh 1.400 warga sipil sebagaimana yang didesas-desuskan dan nyaris setengah dari korban penyerangan 7 Oktober adalah militer/polisi. 2. Warga Israel lain yang menjadi korban adalah warga yang ditembak IDF karena dikira Hamas,--",9,5,289,1058,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341377621811309,
Wed Nov 08 19:52:37 +0000 2023,1722341374811599161,"Bagaimana dengan korban sipil yang benar-benar jadi korban Hamas? Berdasarkan keterangan HRW, setidaknya ada 3 video yang merekam penyerangan Hamas terhadap warga sipil tak bersenjata yang berhasil diverifikasi kebenarannya [11].",0,6,69,544,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341374811599161,
Wed Nov 08 19:52:37 +0000 2023,1722341371758206992,"Berdasarkan beberapa laporan, bahwa warga sipil diperlakukan baik oleh Hamas. [9][10] Ini sejalan dengan perintah umum petinggi Hamas bahwa jangan menyasar warga sipil.",3,1,121,792,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341371758206992,
Wed Nov 08 19:52:36 +0000 2023,1722341366792097905,"Berdasarkan dokumentasi di Be'eri dan dinilai dari kerusakan yang terjadi (ditambah dengan keterangan dari saksi mata), pasukan Israel-lah yang paling mungkin membuat kerusakan seluas ini. (Hamas tak mampu membom dengan daya rusak sebesar ini.) https://t.co/FNEbvpnPBe",4,1,183,955,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341366792097905,
Wed Nov 08 19:52:35 +0000 2023,1722341363516379429,"Yasmin Porat, warga Kibbutz Be'eri, salah satu saksi mata yang berhasil selamat, memberikan kesaksian bahwa tentara Israel menembaki rumah-rumah ke arah pejuang Hamas yang di situ juga ada ratusan warga Israel yang disandera [8].",11,2,133,768,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341363516379429,
Wed Nov 08 19:52:34 +0000 2023,1722341360215441737,"Selain itu, ada juga warga Israel yang dicegat dan dibunuh IDF karena dikira Hamas. Setidaknya ada 3 kejadian terdokumentasi mengenai ini [6]. IDF juga dilaporkan menembak dari helicopter di antara para sandera dan pejuang Hamas [7]. https://t.co/rdGwxJDdlk",22,5,151,824,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341360215441737,
